NOME;CPF;MATRICULA;LIMCRED;BLOQUEADO
LUCAS MENDES CAMPOS;91322530106;;739;0
JOAO ANDRADE MOTA;38867367927;;583;0
LUCAS TEIXEIRA BARBOSA;54773315008;;498;0
EDUARDO NASCIMENTO FIGUEIREDO;23145901800;;327;0
MARCELO MARQUES AMARAL;87700209812;;300;0
PRISCILA PAIVA LOPES;42043119389;;108;0
CRISTINA BASTOS MELO;39517378670;;567;0
CAROLINA MONTEIRO FIGUEIREDO;51128671590;;332;0
PEDRO ARAUJO CAMPOS;12324141906;;686;0
PRISCILA CAMPOS NUNES;37312492860;;54;0
CRISTIANE BARBOSA MONTEIRO;33407951507;;242;0
FERNANDA ROCHA MORAES;56353255489;;831;0
FELIPE LIMA GOMES;04505963543;;572;0
ELIANE ALVES FERREIRA;47120485148;;116;0
MARIA MACHADO MORAES;86398188438;;846;0
TATIANA PAIVA MARQUES;27241696468;;315;0
KARINA DANTAS RODRIGUES;65948794482;;316;0
NEUSA BORGES MARQUES;00483748145;;236;0
KARINA VASCONCELOS GOMES;78007357530;;559;0
FLAVIA FERNANDES CORREIA;28680061913;;341;1
ALICE CUNHA PINTO;30087381419;;107;0
ALINE MONTEIRO MACHADO;32275974466;;867;0
MARCIA FREITAS RODRIGUES;22228447978;;669;0
DIEGO SOUZA ALMEIDA;12536817326;;611;0
MARCIA MONTEIRO MOTA;26362709306;;96;0
FLAVIA FERNANDES MOTA;27557788060;;646;0
LARISSA LIMA MEDEIROS;72697875301;;112;0
ROBERTO MOTA ALVES;02049584407;;134;0
PAULO COSTA NASCIMENTO;12879646057;;917;0
ALINE AMARAL VASCONCELOS;20353778702;;737;0
MATEUS BASTOS CORREIA;78609075427;;58;0
VIVIAN BARBOSA LOPES;16935305624;;837;0
NATHALIA NASCIMENTO RODRIGUES;38253725701;;353;0
MARTA CUNHA NUNES;85463248168;;306;0
THIAGO SILVA PEREIRA;79616418076;;217;0
IRENE TEIXEIRA COSTA;06326083664;;238;0
BRUNO PEREIRA CARDOSO;49734997300;;651;0
TAMIRES CAMPOS VIEIRA;56745406241;;310;0
BRUNO MOTA NUNES;08217549044;;236;0
DEBORA MONTEIRO TEIXEIRA;51217463933;;170;1
SANDRA COSTA CAMPOS;09710530577;;676;0
SUELI DIAS FONSECA;75183042950;;167;0
LARISSA ROCHA CUNHA;72988881103;;848;0
MARTA OLIVEIRA CUNHA;62839312786;;519;0
BENEDITA COSTA AZEVEDO;44475201683;;311;0
SIMONE DIAS RODRIGUES;30289419611;;750;0
RENATO RIBEIRO MENDES;77858785605;;357;0
LEANDRO MELO ROCHA;71729671608;;90;0
GIOVANNA GUERRA AMARAL;14689358877;;612;0
FELIPE GUERRA BRAGA;81036609308;;410;0
ROSANGELA FREITAS VIEIRA;92759938743;;276;0
IRENE GUERRA ALMEIDA;25787649133;;675;0
